sample,relpath,obfuscation_transformation,pipeline_depth,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,global_insertion,1,pipe4,4828,4828,0,0,4,4,3561.82,yes,yes,24.79,ok,22.04,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,data_encryption,1,pipe8,4828,5131,0,0,4,4,3559.98,yes,yes,24.79,ok,40.83,ok,yes,yes,97.73,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,export_insertion,1,pipe6,4793,7802,0,0,4,4,3609.14,yes,yes,21.57,ok,37.96,ok,yes,yes,96.31,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,eqz_transformation,1,pipe15,4828,4828,0,0,4,4,3910.8,yes,yes,24.79,ok,21.3,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,shift_transformation,1,pipe14,4793,4793,0,0,4,4,3988.39,yes,yes,21.57,ok,48.1,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,mba_transformation,1,pipe17,4828,4891,0,0,4,4,4165.17,yes,yes,24.79,ok,167.87,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,global_insertion,1,pipe4,4793,4793,0,0,4,4,4135.36,yes,yes,21.57,ok,140.62,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,data_insertion,1,pipe7,4828,4828,0,0,4,4,3982.11,yes,yes,24.79,ok,91.22,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,data_encryption,1,pipe8,4793,5096,0,0,4,4,4305.46,yes,yes,21.57,ok,144.53,ok,yes,yes,97.72,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,data_insertion,1,pipe7,4793,4793,0,0,4,4,4618.35,yes,yes,21.57,ok,98.84,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,element_insertion,1,pipe5,4828,5474,0,0,4,4,3929.87,yes,yes,24.79,ok,41.49,ok,yes,yes,97.18,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,function_sig_insertion,1,pipe0,4828,6017,0,0,4,4,3545.7,yes,yes,24.79,ok,53.59,ok,yes,yes,94.65,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,mba_transformation,1,pipe17,4793,4856,0,0,4,4,4455.11,yes,yes,21.57,ok,124.92,ok,yes,yes,99.71,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,eqz_transformation,1,pipe15,4793,4793,0,0,4,4,5104.91,yes,yes,21.57,ok,82.5,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,element_insertion,1,pipe5,4793,5439,0,0,4,4,4611.38,yes,yes,21.57,ok,90.99,ok,yes,yes,97.17,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,import_insertion,1,pipe1,4828,4828,0,0,4,4,5049.36,yes,yes,24.79,ok,144.01,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,shift_transformation,1,pipe14,4828,4828,0,0,4,4,5197.6,yes,yes,24.79,ok,79.97,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,export_insertion,1,pipe6,4828,7948,0,0,4,4,5378.33,yes,yes,24.79,ok,69.06,ok,yes,yes,96.24,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,import_insertion,1,pipe1,4793,4793,0,0,4,4,5034.94,yes,yes,21.57,ok,106.94,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,import_insertion,1,pipe1,4863,4863,0,0,4,4,4777.0,yes,yes,20.87,ok,184.76,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,function_sig_insertion,1,pipe0,4793,6003,0,0,4,4,4749.46,yes,yes,21.57,ok,193.71,ok,yes,yes,94.57,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,function_sig_insertion,1,pipe0,4863,6060,0,0,4,4,4722.01,yes,yes,20.87,ok,221.84,ok,yes,yes,94.62,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,data_insertion,1,pipe7,4863,4863,0,0,4,4,4456.69,yes,yes,20.87,ok,77.08,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,shift_transformation,1,pipe14,4863,4863,0,0,4,4,4099.43,yes,yes,20.87,ok,74.28,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,direct_to_indirect,1,pipe12,4828,4951,0,35,4,4,4545.93,yes,yes,24.79,ok,137.7,ok,yes,yes,98.38,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,eqz_transformation,1,pipe15,4863,4863,0,0,4,4,4258.24,yes,yes,20.87,ok,23.68,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,element_insertion,1,pipe5,4863,5509,0,0,4,4,4291.37,yes,yes,20.87,ok,47.4,ok,yes,yes,97.19,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,data_encryption,1,pipe8,4863,5166,0,0,4,4,4420.14,yes,yes,20.87,ok,82.28,ok,yes,yes,97.74,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,direct_to_indirect,1,pipe12,4793,4904,0,31,4,4,4360.99,yes,yes,21.57,ok,146.12,ok,yes,yes,98.43,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,mba_transformation,1,pipe17,4863,4926,0,0,4,4,4239.19,yes,yes,20.87,ok,40.73,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,global_insertion,1,pipe4,4863,4863,0,0,4,4,4823.69,yes,yes,20.87,ok,26.41,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,export_insertion,1,pipe6,4863,8442,0,0,4,4,4755.78,yes,yes,20.87,ok,43.51,ok,yes,yes,95.89,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,global_insertion,1,pipe4,4863,4863,0,0,4,4,3440.45,yes,yes,10.6,ok,96.47,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,import_insertion,1,pipe1,4863,4863,0,0,4,4,3428.28,yes,yes,10.6,ok,87.75,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,data_insertion,1,pipe7,4863,4863,0,0,4,4,3730.54,yes,yes,10.6,ok,38.92,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,element_insertion,1,pipe5,4863,5509,0,0,4,4,4043.76,yes,yes,10.6,ok,63.72,ok,yes,yes,97.19,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,data_encryption,1,pipe8,4863,5166,0,0,4,4,3597.05,yes,yes,10.6,ok,33.62,ok,yes,yes,97.74,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,direct_to_indirect,1,pipe12,4863,4998,0,39,4,4,4424.8,yes,yes,20.87,ok,45.97,ok,yes,yes,98.13,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,export_insertion,1,pipe6,4863,8363,0,0,4,4,4485.96,yes,yes,10.6,ok,106.99,ok,yes,yes,96.01,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,function_sig_insertion,1,pipe0,4863,5968,0,0,4,4,3569.38,yes,yes,10.6,ok,105.38,ok,yes,yes,94.96,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,shift_transformation,1,pipe14,4863,4863,0,0,4,4,3744.82,yes,yes,10.6,ok,16.82,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,eqz_transformation,1,pipe15,4863,4863,0,0,4,4,3701.44,yes,yes,10.6,ok,17.62,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,mba_transformation,1,pipe17,4863,4926,0,0,4,4,3478.38,yes,yes,10.6,ok,74.08,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,offset_expansion,1,pipe16,4793,5726,0,0,4,4,4143.62,yes,yes,21.57,ok,141.28,ok,yes,yes,87.88,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,add_sub_transformation,1,pipe13,4793,4793,0,0,4,4,5013.31,yes,yes,21.57,ok,114.57,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,offset_expansion,1,pipe16,4828,5761,0,0,4,4,4178.61,yes,yes,24.79,ok,149.49,ok,yes,yes,87.92,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,function_body_cloning,1,pipe3,4863,9666,0,0,4,4,4315.5,yes,yes,20.87,ok,59.29,ok,yes,yes,66.4,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,direct_to_indirect,1,pipe12,4863,4998,0,39,4,4,3353.0,yes,yes,10.6,ok,97.71,ok,yes,yes,98.13,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,function_body_cloning,1,pipe3,4793,9528,0,0,4,4,4796.57,yes,yes,21.57,ok,117.96,ok,yes,yes,66.39,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,function_body_cloning,1,pipe3,4828,9597,0,0,4,4,3931.31,yes,yes,24.79,ok,74.37,ok,yes,yes,66.02,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,import_insertion,1,pipe1,4757,4757,0,0,4,4,3664.82,yes,yes,26.67,ok,98.55,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,global_insertion,1,pipe4,4757,4757,0,0,4,4,3515.56,yes,yes,26.67,ok,94.45,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,add_sub_transformation,1,pipe13,4828,4828,0,0,4,4,4412.96,yes,yes,24.79,ok,153.7,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,function_sig_insertion,1,pipe0,4757,5917,0,0,4,4,3607.28,yes,yes,26.67,ok,130.69,ok,yes,yes,94.72,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,element_insertion,1,pipe5,4757,5403,0,0,4,4,3326.4,yes,yes,26.67,ok,89.46,ok,yes,yes,97.16,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,data_insertion,1,pipe7,4757,4757,0,0,4,4,3312.04,yes,yes,26.67,ok,84.81,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,export_insertion,1,pipe6,4757,8238,0,0,4,4,3974.1,yes,yes,26.67,ok,83.33,ok,yes,yes,95.98,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,data_encryption,1,pipe8,4757,5060,0,0,4,4,3816.47,yes,yes,26.67,ok,66.85,ok,yes,yes,97.71,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,shift_transformation,1,pipe14,4757,4757,0,0,4,4,3561.83,yes,yes,26.67,ok,39.96,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,mba_transformation,1,pipe17,4757,4820,0,0,4,4,3647.44,yes,yes,26.67,ok,71.38,ok,yes,yes,99.71,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,function_body_cloning,1,pipe3,4863,9666,0,0,4,4,3847.49,yes,yes,10.6,ok,169.25,ok,yes,yes,63.47,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,offset_expansion,1,pipe16,4863,5796,0,0,4,4,4467.05,yes,yes,20.87,ok,89.92,ok,yes,yes,87.97,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,eqz_transformation,1,pipe15,4757,4757,0,0,4,4,3924.85,yes,yes,26.67,ok,88.44,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,add_sub_transformation,1,pipe13,4863,4863,0,0,4,4,4544.86,yes,yes,20.87,ok,42.93,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,constant_value_splitting,1,pipe18,4828,6773,0,0,4,4,4184.25,yes,yes,24.79,ok,169.19,ok,yes,yes,71.9,100.0,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,constant_value_transformation,1,pipe19,4828,7441,0,0,4,4,4167.26,yes,yes,24.79,ok,171.27,ok,yes,yes,79.11,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,constant_value_splitting,1,pipe18,4793,6733,0,0,4,4,5256.25,yes,yes,21.57,ok,108.67,ok,yes,yes,72.04,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,import_insertion,1,pipe1,4828,4828,0,0,4,4,3282.2,yes,yes,10.18,ok,25.48,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,constant_value_transformation,1,pipe19,4793,7398,0,0,4,4,5228.47,yes,yes,21.57,ok,116.19,ok,yes,yes,79.08,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,direct_to_indirect,1,pipe12,4757,4857,0,27,4,4,3556.56,yes,yes,26.67,ok,128.41,ok,yes,yes,98.73,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,global_insertion,1,pipe4,4828,4828,0,0,4,4,3866.46,yes,yes,10.18,ok,15.11,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,add_sub_transformation,1,pipe13,4863,4863,0,0,4,4,3367.51,yes,yes,10.6,ok,22.89,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,function_body_cloning,1,pipe3,4757,9457,0,0,4,4,3777.98,yes,yes,26.67,ok,107.36,ok,yes,yes,66.53,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,function_sig_insertion,1,pipe0,4828,5983,0,0,4,4,3958.85,yes,yes,10.18,ok,62.09,ok,yes,yes,94.74,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_encryption,1,pipe8,4828,5131,0,0,4,4,3341.41,yes,yes,10.18,ok,14.0,ok,yes,yes,97.73,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,data_insertion,1,pipe7,4828,4828,0,0,4,4,3476.46,yes,yes,10.18,ok,126.93,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,export_insertion,1,pipe6,4828,8012,0,0,4,4,3671.05,yes,yes,10.18,ok,97.16,ok,yes,yes,96.21,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,eqz_transformation,1,pipe15,4828,4828,0,0,4,4,2817.71,yes,yes,10.18,ok,15.41,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,element_insertion,1,pipe5,4828,5474,0,0,4,4,3755.91,yes,yes,10.18,ok,35.78,ok,yes,yes,97.18,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,shift_transformation,1,pipe14,4828,4828,0,0,4,4,3239.45,yes,yes,10.18,ok,74.92,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,mba_transformation,1,pipe17,4828,4891,0,0,4,4,3312.11,yes,yes,10.18,ok,97.08,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,constant_value_splitting,1,pipe18,4863,6814,0,0,4,4,4531.11,yes,yes,20.87,ok,37.31,ok,yes,yes,72.1,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,offset_expansion,1,pipe16,4863,5796,0,0,4,4,3499.45,yes,yes,10.6,ok,15.84,ok,yes,yes,87.97,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,direct_to_indirect,1,pipe12,4828,4951,0,35,4,4,3359.54,yes,yes,10.18,ok,37.43,ok,yes,yes,98.38,100.0,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,constant_value_transformation,1,pipe19,4863,7484,0,0,4,4,4214.73,yes,yes,20.87,ok,142.21,ok,yes,yes,79.15,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,add_sub_transformation,1,pipe13,4757,4757,0,0,4,4,3892.02,yes,yes,26.67,ok,89.59,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,data_encryption,1,pipe8,4933,5236,0,0,4,4,3223.4,yes,yes,21.54,ok,37.71,ok,yes,yes,97.76,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,import_insertion,1,pipe1,4933,4933,0,0,4,4,3376.14,yes,yes,21.54,ok,101.68,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,global_insertion,1,pipe4,4933,4933,0,0,4,4,3567.09,yes,yes,21.54,ok,22.32,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,data_insertion,1,pipe7,4933,4933,0,0,4,4,3636.15,yes,yes,21.54,ok,26.56,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,shift_transformation,1,pipe14,4933,4933,0,0,4,4,3052.61,yes,yes,21.54,ok,14.89,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,eqz_transformation,1,pipe15,4933,4933,0,0,4,4,3073.77,yes,yes,21.54,ok,18.12,ok,yes,yes,100.0,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,element_insertion,1,pipe5,4933,5579,0,0,4,4,3586.14,yes,yes,21.54,ok,30.1,ok,yes,yes,97.22,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,function_sig_insertion,1,pipe0,4933,6095,0,0,4,4,3665.54,yes,yes,21.54,ok,72.41,ok,yes,yes,94.79,100.0,yes,no,no,1,yes,,file_not_found
3o1u.wasm,3o1u.wasm,offset_expansion,1,pipe16,4757,5690,0,0,4,4,4114.83,yes,yes,26.67,ok,32.88,ok,yes,yes,87.83,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,export_insertion,1,pipe6,4933,8248,0,0,4,4,3879.51,yes,yes,21.54,ok,37.27,ok,yes,yes,96.16,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,constant_value_splitting,1,pipe18,4863,6814,0,0,4,4,3435.8,yes,yes,10.6,ok,144.37,ok,yes,yes,72.2,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,mba_transformation,1,pipe17,4933,4996,0,0,4,4,3053.41,yes,yes,21.54,ok,50.35,ok,yes,yes,99.72,100.0,yes,no,no,1,yes,,file_not_found
4o3u.wasm,4o3u.wasm,constant_value_transformation,1,pipe19,4863,7484,0,0,4,4,3187.41,yes,yes,10.6,ok,21.97,ok,yes,yes,79.15,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,function_body_cloning,1,pipe3,4828,9597,0,0,4,4,3770.42,yes,yes,10.18,ok,102.05,ok,yes,yes,62.34,100.0,yes,no,no,1,yes,,file_not_found
7o2u.wasm,7o2u.wasm,direct_to_indirect,1,pipe12,4933,5092,0,47,4,4,3006.55,yes,yes,21.54,ok,42.44,ok,yes,yes,97.8,100.0,yes,no,no,1,yes,,file_not_found
3o3u.wasm,3o3u.wasm,add_sub_transformation,1,pipe13,4828,4828,0,0,4,4,3545.37,yes,yes,10.18,ok,64.34,ok,yes,yes,99.38,100.0,yes,no,no,1,yes,,file_not_found
